state,bill_id,bill_number,title,date,status,session,link
WI,2045610,SB479,Subdivision plat approvals. (FE),2025-10-02,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2045610
WI,2045609,SB502,A nuclear energy generation tax credit; prioritizing nuclear energy resources; approval of certain electric tariffs for very large customers; and authorizing electric utilities to recover certain precertification costs through rates. (FE),2025-10-02,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2045609
WI,2045440,AB472,A nuclear energy generation tax credit; prioritizing nuclear energy resources; approval of certain electric tariffs for very large customers; and authorizing electric utilities to recover certain precertification costs through rates. (FE),2025-10-01,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2045440
WI,2045237,AB471,The regulation of digital assets.,2025-09-29,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2045237
MI,2045034,SB0587,Public utilities: rates; public service commission issuing a report before approving a rate increase; require. Amends sec. 6a of 1939 PA 3 (MCL 460.6a).,2025-09-25,1,103rd Legislature,https://legiscan.com/MI/bill/2045034
MI,2045046,SB0588,Public utilities: electric utilities; cap on electric choice; modify. Amends sec. 10a of 1939 PA 3 (MCL 460.10a).,2025-09-25,1,103rd Legislature,https://legiscan.com/MI/bill/2045046
WI,2045050,AB452,Subdivision plat approvals. (FE),2025-09-25,2,2025-2026 Regular Session,https://legiscan.com/WI/bill/2045050
MI,2045043,SB0593,Vehicles: registration; electric vehicle registration fee; modify. Amends sec. 801 of 1949 PA 300 (MCL 257.801) & adds sec. 801d.,2025-09-25,1,103rd Legislature,https://legiscan.com/MI/bill/2045043
MI,2044609,SB0579,"Natural resources: other; certain fees in the natural resources and environmental protection act; modify. Amends secs. 3104, 3110, 3118, 3120, 4104, 11153, 30104, 30109, 32312 & 32513 of 1994 PA 451 (MCL 324.3104 et seq.).",2025-09-18,4,103rd Legislature,https://legiscan.com/MI/bill/2044609
MI,2044421,HB4972,Sales tax: exemptions; sale of baby diapers; exempt. Amends sec. 4a of 1933 PA 167 (MCL 205.54a).,2025-09-17,1,103rd Legislature,https://legiscan.com/MI/bill/2044421
MI,2044427,HB4971,Use tax: exemptions; sale of baby diapers; exempt. Amends sec. 4 of 1937 PA 94 (MCL 205.94).,2025-09-17,1,103rd Legislature,https://legiscan.com/MI/bill/2044427
MI,2044414,HB4977,Public utilities: consumer services; disclosure on electric utility bills of the number of power outages that occurred within that billing cycle; require. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 9e.,2025-09-17,1,103rd Legislature,https://legiscan.com/MI/bill/2044414
MI,2044424,HB4976,Public utilities: consumer services; prohibition for an electric utility to reclaim revenue they were required to pay in service outage credits; provide for. Amends sec. 6a of 1939 PA 3 (MCL 460.6a).,2025-09-17,1,103rd Legislature,https://legiscan.com/MI/bill/2044424
MI,2044410,HB4978,Public utilities: electric utilities; distribution grid plans created by electric utilities; require. Amends sec. 6a of 1939 PA 3 (MCL 460.6a).,2025-09-17,1,103rd Legislature,https://legiscan.com/MI/bill/2044410
IL,2044181,HB4123,SAVE OUR POWER PLANTS ACT,2025-09-16,1,104th General Assembly,https://legiscan.com/IL/bill/2044181
IL,2044162,HB4124,UNCAP AFFORDABLE POWER ACT,2025-09-16,1,104th General Assembly,https://legiscan.com/IL/bill/2044162
WI,2044061,AJR88,"Recognizing November 10, 2025, as the 50th anniversary of the tragic loss of the crew of SS Edmund Fitzgerald.",2025-09-15,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2044061
IL,2044012,HB4120,UTILITIES-VARIOUS,2025-09-12,1,104th General Assembly,https://legiscan.com/IL/bill/2044012
IL,2043588,HB4116,UTILITIES-VARIOUS,2025-09-10,1,104th General Assembly,https://legiscan.com/IL/bill/2043588
MI,2043239,SB0518,Energy: alternative sources; community solar facilities; provide for establishment of. Amends sec. 5 of 2008 PA 295 (MCL 460.1005) & adds pt. 9. TIE BAR WITH: SB 519'25,2025-09-04,1,103rd Legislature,https://legiscan.com/MI/bill/2043239
MI,2043261,HB4843,"Weapons: other; exceptions to use of portable device or weapon directing electrical current, impulse, wave, or beam; modify. Amends sec. 224a of 1931 PA 328 (MCL 750.224a).",2025-09-04,1,103rd Legislature,https://legiscan.com/MI/bill/2043261
WI,2043294,SJR83,"Recognizing November 10, 2025, as the 50th anniversary of the tragic loss of the crew of SS Edmund Fitzgerald.",2025-09-04,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2043294
MI,2043201,SB0519,Public utilities: consumer services; community solar facilities; require MPSC to promulgate rules concerning. Amends 2008 PA 295 (MCL 460.1001 - 460.1232) by adding secs. 245 & 247. TIE BAR WITH: SB 518'25,2025-09-04,1,103rd Legislature,https://legiscan.com/MI/bill/2043201
MI,2042701,HB4804,Vehicles: registration; fee increase on vehicle using 4 or more tires; modify. Amends sec. 801 of 1949 PA 300 (MCL 257.801).,2025-08-26,1,103rd Legislature,https://legiscan.com/MI/bill/2042701
MI,2040084,HB4742,"Environmental protection: permits; denial of or imposition of additional conditions on; provide for when projects are located in environmentally overburdened communities, and repeal environmental permit review commission provisions. Amends secs. 1301, 1305, 1307 & 1311 of 1994 PA 451 (MCL 324.1301 et seq.); designates secs. 1301 - 1311 as subpt. 1; adds subpt. 2 to pt. 13 & repeals secs. 1313 - 1317 of 1994 PA 451 (MCL 324.1313 - 324.1317).",2025-07-22,1,103rd Legislature,https://legiscan.com/MI/bill/2040084
IL,2040119,HB4088,REPEAL-ENERGY ACT,2025-07-22,1,104th General Assembly,https://legiscan.com/IL/bill/2040119
WI,2039025,AB329,"Operation of all-terrain and utility terrain vehicles, off-highway motorcycles, and snowmobiles and revision of the Department of Transportation highway maintenance manual.",2025-07-08,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2039025
WI,2039007,AB351,Virtual credit card payments in health insurance policies.,2025-07-08,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2039007
WI,2039008,AB323,Ratification of the Cosmetology Licensure Compact. (FE),2025-07-08,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2039008
MI,2038860,SB0477,Public utilities: electric utilities; establishment of microgrids; provide for. Amends sec. 10a of 1939 PA 3 (MCL 460.10a).,2025-07-01,1,103rd Legislature,https://legiscan.com/MI/bill/2038860
MI,2038864,SB0479,"Environmental protection: permits; denial of or imposition of additional conditions on; provide for when projects are located in environmentally overburdened communities, and repeal environmental permit review commission provisions. Amends secs. 1301, 1305, 1307 & 1311 of 1994 PA 451 (MCL 324.1301 et seq.); designates secs. 1301 - 1311 as subpt. 1; adds subpt. 2 to pt. 13 & repeals secs. 1313 - 1317 of 1994 PA 451 (MCL 324.1313 - 324.1317).",2025-07-01,1,103rd Legislature,https://legiscan.com/MI/bill/2038864
MI,2038841,HB4709,Energy: alternative sources; construction of wind turbines in the Great Lakes; prohibit. Amends title of 2008 PA 295 (MCL 460.1001 - 460.1232) & adds sec. 55.,2025-07-01,1,103rd Legislature,https://legiscan.com/MI/bill/2038841
MI,2038856,HB4706,Appropriations: omnibus; appropriations for multiple departments and branches for the fiscal year 2025-2026 and supplemental appropriations for fiscal year 2024-2025; provide for. Creates appropriation act.,2025-07-01,4,103rd Legislature,https://legiscan.com/MI/bill/2038856
MI,2037979,SB0439,Public utilities: public service commission; requirement for integrated resource plans to include payment to certain workers a minimum wage standard as determined under 2023 PA 10; amend to reflect repeal. Amends sec. 6t of 1939 PA 3 (MCL 460.6t). TIE BAR WITH: SB 438'25,2025-06-24,1,103rd Legislature,https://legiscan.com/MI/bill/2037979
MI,2037946,SB0440,Energy: alternative sources; requirement to pay certain workers a minimum wage standard as determined under 2023 PA 10; amend to reflect repeal. Amends sec. 226 of 2008 PA 295 (MCL 460.1226). TIE BAR WITH: SB 438'25,2025-06-24,1,103rd Legislature,https://legiscan.com/MI/bill/2037946
WI,2037706,SB335,Ratification of the Cosmetology Licensure Compact. (FE),2025-06-19,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2037706
WI,2037745,SB331,"Operation of all-terrain and utility terrain vehicles, off-highway motorcycles, and snowmobiles and revision of the Department of Transportation highway maintenance manual.",2025-06-19,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2037745
LA,2036984,HR381,Creates the Clean Water Task Force to study the public water system in Shreveport,2025-06-12,4,2025 Regular Session,https://legiscan.com/LA/bill/2036984
LA,2036868,SR195,"Creates a task force to study and make recommendations relative to polices that promote energy self-generation, industrial microgrids, and expedited permitting in the state of Louisiana.",2025-06-11,4,2025 Regular Session,https://legiscan.com/LA/bill/2036868
MI,2036516,HB4637,Civil procedure: civil actions; action for medical monitoring for individuals exposed to a proven toxic substance; provide for. Amends secs. 20126 & 20140 of 1994 PA 451 (MCL 324.20126 & 324.20140) & adds sec. 20136.,2025-06-10,1,103rd Legislature,https://legiscan.com/MI/bill/2036516
MI,2036559,HB4640,"Environmental protection: cleanups; cleanup standards; require. Amends secs. 20101, 20107a, 20112a, 20114, 20114b, 20114c, 20114d, 20114e, 20119, 20126, 20126a, 20137 & 20139 of 1994 PA 451 (MCL 324.20101 et seq.); adds secs. 20113a & 20139a & repeals secs. 20114a & 20114g of 1994 PA 451 (MCL 324.20114a & 324.20114g). TIE BAR WITH: HB 4638'25, HB 4636'25",2025-06-10,1,103rd Legislature,https://legiscan.com/MI/bill/2036559
MI,2036540,SB0396,"Environmental protection: air pollution; regulation of carbon sequestration; provide for. Amends secs. 502 & 1301 of 1994 PA 451 (MCL 324.502 & 324.1301); adds sec. 52509 & subch. 6, ch. 3 of art. III. TIE BAR WITH: SB 394'25, SB 395'25",2025-06-10,2,103rd Legislature,https://legiscan.com/MI/bill/2036540
MI,2036617,SB0391,"Environmental protection: cleanups; cleanup standards; require. Amends secs. 20101, 20107a, 20112a, 20114, 20114b, 20114c, 20114d, 20114e, 20119, 20126, 20126a, 20137 & 20139 of 1994 PA 451 (MCL 324.20101 et seq.); adds secs. 20113a & 20139a & repeals secs. 20114a & 20114g of 1994 PA 451 (MCL 324.20114a & 324.20114g). TIE BAR WITH: SB 392'25, SB 385'25",2025-06-10,1,103rd Legislature,https://legiscan.com/MI/bill/2036617
MI,2036541,SB0386,Civil procedure: civil actions; action for medical monitoring for individuals exposed to a proven toxic substance; provide for. Amends secs. 20126 & 20140 of 1994 PA 451 (MCL 324.20126 & 324.20140) & adds sec. 20136.,2025-06-10,1,103rd Legislature,https://legiscan.com/MI/bill/2036541
MI,2036624,HB4590,Public utilities: consumer services; community solar facilities; require MPSC to promulgate rules concerning. Amends sec. 5 of 2008 PA 295 (MCL 460.1005) & adds pt. 9.,2025-06-10,1,103rd Legislature,https://legiscan.com/MI/bill/2036624
MI,2036531,SB0369,Public utilities: public service commission; calculation of costs of renewable energy; provide for. Amends 1939 PA 3 (MCL 460.1 - 460.11) by adding sec. 6y.,2025-06-10,1,103rd Legislature,https://legiscan.com/MI/bill/2036531
MN,2036210,HF8,Environment and natural resources finance and policy bill.,2025-06-09,1,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036210
MN,2036176,SF3,Omnibus Environment and Natural Resources appropriations,2025-06-09,4,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036176
MN,2036191,SF20,Omnibus Tax bill,2025-06-09,1,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036191
MN,2036208,HF9,Tax finance and policy bill.,2025-06-09,4,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036208
MN,2036183,SF2,"Omnibus Energy, Utilities, Environment and Climate policy and appropriations",2025-06-09,4,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036183
MN,2036221,HF7,Energy finance and policy bill.,2025-06-09,1,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036221
MN,2036200,SF19,Requirements governing data centers modifications,2025-06-09,1,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036200
MN,2036286,HF16,Data center regulatory bill.,2025-06-09,4,94th Legislature 2025 1st Special Session,https://legiscan.com/MN/bill/2036286
LA,2035071,HR265,"Directs the Louisiana Public Service Commission to explore technology, policy, and cost recovery mechanisms to harden the Louisiana electrical grid against electromagnetic threats",2025-06-02,4,2025 Regular Session,https://legiscan.com/LA/bill/2035071
WI,2034726,AB284,"Enumeration of projects in the Authorized State Building Program, modifications to building program project budgets, selection of project architects and engineers, single prime contracting, agency cooperation with energy conservation contractors, timeline for claims before the Claims Board, and making a transfer to the state building trust fund. (FE)",2025-05-30,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2034726
WI,2034664,SB296,"Enumeration of projects in the Authorized State Building Program, modifications to building program project budgets, selection of project architects and engineers, single prime contracting, agency cooperation with energy conservation contractors, timeline for claims before the Claims Board, and making a transfer to the state building trust fund. (FE)",2025-05-30,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2034664
MI,2034362,SB0348,Public utilities: electric utilities; condemnation of property for transmission lines; allow for qualified transmission companies. Amends sec. 5 of 1923 PA 238 (MCL 486.255). TIE BAR WITH: SB 346'25,2025-05-29,1,103rd Legislature,https://legiscan.com/MI/bill/2034362
LA,2034414,HR249,Creates a task force to study and recommend policies to promote Small Nuclear Reactors in Louisiana,2025-05-29,4,2025 Regular Session,https://legiscan.com/LA/bill/2034414
TX,2034279,HR1460,Commemorating the 50th anniversary of The Energy Council.,2025-05-28,4,89th Legislature Regular Session,https://legiscan.com/TX/bill/2034279
LA,2033258,HR212,Urges and requests the Department of Energy and Natural Resources and the Public Service Commission to research the benefits of using nuclear energy generation within the state,2025-05-22,4,2025 Regular Session,https://legiscan.com/LA/bill/2033258
MI,2033268,HB4524,"Property: recording; marketable record title act; revise. Amends title & secs. 1, 1a, 2, 3, 4, 5, 6 & 8 of 1945 PA 200 (MCL 565.101 et seq.) & adds sec. 5a.",2025-05-22,4,103rd Legislature,https://legiscan.com/MI/bill/2033268
MI,2032938,SB0322,"Energy: alternative sources; energy waste reduction and electrification standards, renewable energy goals, and MPSC certification preempting local zoning; reverse changes made by 2023 public acts 229, 235, and 233, respectively. Amends title & heading subpt. A of pt. 2 & secs. 1, 3, 5, 7, 9, 11, 13, 22, 28, 29, 39 45, 47, 49, 71, 73, 75, 77, 78, 91, 93, 173, 177 & 191 of 2008 PA 295 (MCL 460.1001 et seq.); repeals secs. 32, 51, 53, 72, 80, 80a, 101 & 103 & pt. 8 of 2008 PA 295 (MCL 460.1032 et seq.). TIE BAR WITH: SB 323'25",2025-05-21,1,103rd Legislature,https://legiscan.com/MI/bill/2032938
MI,2032878,SB0327,Land use: farmland and open space; use of farmland for commercial solar facilities; prohibit. Amends sec. 36104e of 1994 PA 451 (MCL 324.36104e).,2025-05-21,1,103rd Legislature,https://legiscan.com/MI/bill/2032878
LA,2033048,HB696,Provides relative to carbon dioxide sequestration (EG INCREASE SD EX See Note),2025-05-21,1,2025 Regular Session,https://legiscan.com/LA/bill/2033048
MI,2032883,SB0325,"Public utilities: public service commission; certain provisions regarding rate cases and integrated resource plans; eliminate. Amends secs. 6a, 6m & 6t of 1939 PA 3 (MCL 460.6a et seq.); adds sec. 6x & repeals sec. 6aa of 1939 PA 3 (MCL 460.6aa).",2025-05-21,1,103rd Legislature,https://legiscan.com/MI/bill/2032883
LA,2033058,HCR64,Urges and requests the Department of Energy and Natural Resources and the Public Service Commission to research and implement nuclear energy generation within the state,2025-05-21,1,2025 Regular Session,https://legiscan.com/LA/bill/2033058
LA,2033013,HCR61,Creates a special task force to study the interagency consultation process for data centers to ensure more complete natural resource planning and management,2025-05-21,2,2025 Regular Session,https://legiscan.com/LA/bill/2033013
LA,2031569,HB692,"Establishes state policy regarding affordable, reliable energy and grid resilience (EN +$119,859 GF EX See Note)",2025-05-15,4,2025 Regular Session,https://legiscan.com/LA/bill/2031569
LA,2030979,SB244,Provides for the Dept. of Energy and Natural Resources. (8/1/25) (EN SEE FISC NOTE GF EX),2025-05-13,4,2025 Regular Session,https://legiscan.com/LA/bill/2030979
IA,2030571,SF657,"A bill for an act related to state taxation and finance and other related matters, by creating, modifying, and eliminating tax credits and tax incentive programs, providing for penalties, and including effective date and retroactive applicability provisions. (Formerly SSB 1205.) Effective date: 06/06/2025, 07/01/2025, 12/31/2025, 01/01/2026. Applicability date: 01/01/2017, 01/01/2025, 01/01/2026.",2025-05-12,4,91st General Assembly,https://legiscan.com/IA/bill/2030571
WI,2030003,SB241,Tax incremental financing districts containing qualified data centers. (FE),2025-05-09,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2030003
WI,2030052,SB244,Modifying the sales and use tax exemption for qualified data centers. (FE),2025-05-09,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2030052
LA,2029341,HCR40,Creates the Louisiana Grid Efficiency Task Force,2025-05-07,1,2025 Regular Session,https://legiscan.com/LA/bill/2029341
MN,2029278,HF3304,"Sustainable aviation fuel income tax credit and exemptions for data centers and construction of sustainable aviation fuel facilities repealed, increased general fund amounts reallocated from repealed tax provisions to increase the renter's credit, and corresponding technical changes made.",2025-05-07,1,94th Legislature 2025-2026,https://legiscan.com/MN/bill/2029278
MI,2029388,HB4470,Highways: bridges; Mackinac Bridge; designate as a key facility. Amends sec. 552c of 1931 PA 328 (MCL 750.552c).,2025-05-07,1,103rd Legislature,https://legiscan.com/MI/bill/2029388
LA,2028726,SR80,"Commends the activities of the Gulf State Renewable Energy Industries Association and designates Monday, May 5, 2025, as Gulf State Renewable Energy Industries Association Day at the Louisiana State Capitol.",2025-05-05,4,2025 Regular Session,https://legiscan.com/LA/bill/2028726
LA,2028593,HR118,"Designates May 5, 2025, as Gulf State Renewable Energy Industries Association Day at the state capitol",2025-05-05,4,2025 Regular Session,https://legiscan.com/LA/bill/2028593
LA,2028617,SR81,"Recognizes Tuesday, May 6, 2025, as Louisiana Renewable Energy Day at the Louisiana State Capitol.",2025-05-05,4,2025 Regular Session,https://legiscan.com/LA/bill/2028617
LA,2028530,HR105,"Designates Tuesday, May 6, 2025, as Louisiana Renewable Energy Day at the Louisiana State Capitol",2025-05-05,4,2025 Regular Session,https://legiscan.com/LA/bill/2028530
WI,2028254,AB245,Modifying the sales and use tax exemption for qualified data centers. (FE),2025-05-02,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2028254
IL,2027754,HB4050,ENERGY FOR ALL,2025-05-01,1,104th General Assembly,https://legiscan.com/IL/bill/2027754
